Bundesland;Regionalbereich;Bf. Nr.;Station;Bf DS 100 Abk.;Kategorie Vst;Straße;PLZ;Ort;Aufgabenträger;Verkehrsverbünde;Fernverkehr;Nahverkehr
Bayern;Südostbayernbahn (SOB);1474;Eggenfelden;MEGF;SOB;Spirknerallee 2-6;84307;Eggenfelden;Bayrische Eisenbahn Gesellschaft;Verkehrsgemeinschaft Rottal-Inn;nein;ja
Bayern;Südostbayernbahn (SOB);8209;Eggenfelden Mitte;MEFM;SOB;Bahnhofstraße 13;84546;Egglkofen;Bayrische Eisenbahn Gesellschaft;-;nein;ja
Bayern;Südostbayernbahn (SOB);1477;Egglkofen;MEGK;KHB 1;Niederelsunger Straße 33;34471;Volkmarsen;Bayrische Eisenbahn Gesellschaft;Nordhessischer Verkehrsverbund;nein;ja
Hessen;Kurhessenbahn (KHB);1490;Ehringen;FEGN;EGB;Am Einsiedler Bahnhof;9123;Chemnitz;Nordhessischer Verkehrsverbund;Verkehrsverbund Mittelsachsen;nein;ja
Sachsen;Erzgebirgsbahn (EGB);1524;Einsiedel;DED;EGB;Einsiedler Hauptstraße;9123;Chemnitz;Verkehrsverbund Mittelsachsen;Verkehrsverbund Mittelsachsen;nein;ja
Sachsen;Erzgebirgsbahn (EGB);8220;Einsiedel Gymnasium;DEDH;SOB;Dorfstraße;83313;Siegsdorf;Verkehrsverbund Mittelsachsen;-;nein;ja
Bayern;Südostbayernbahn (SOB);1531;Eisenärzt;MEZT;WFB 1;Deutschordenstraße;97990;Weikersheim;Bayrische Eisenbahn Gesellschaft;Verkehrsverbund Rhein-Neckar;nein;ja
Baden-Württemberg;Westfrankenbahn (WFB);1559;Elpersheim;TELP;SOB;Raiffeisenstraße 22;94081;Fürstenzell;Nahverkehrsgesellschaft Baden-Württemberg;Verkehrsgemeinschaft Landkreis Passau;nein;ja
Bayern;Südostbayernbahn (SOB);1600;Engertsham;MEGH;EGB;Am Bahnhof;9573;Augustusburg;Bayrische Eisenbahn Gesellschaft;Verkehrsverbund Mittelsachsen;nein;ja
Sachsen;Erzgebirgsbahn (EGB);1629;Erdmannsdorf-Augustusburg;DEA;EGB;Karlsbader Straße;8340;Schwarzenberg;Verkehrsverbund Mittelsachsen;Verkehrsverbund Mittelsachsen;nein;ja
Sachsen;Erzgebirgsbahn (EGB);1648;Erla;DERA;EGB;Schwarzenberger Straße;8359;Erlabrunn;Verkehrsverbund Mittelsachsen;Verkehrsverbund Mittelsachsen;nein;ja
Sachsen;Erzgebirgsbahn (EGB);1649;Erlabrunn (Erzgeb);DERB;WFB 2;Bahnhofstraße;63906;Erlenbach a.Main;Verkehrsverbund Mittelsachsen;Verkehrsgemeinschaft am Bayerischen Untermain;nein;ja
Bayern;Westfrankenbahn (WFB);1656;Erlenbach am Main;NERL;KHB 1;Marburger Straße;35099;Burgwald;Bayrische Eisenbahn Gesellschaft;Nordhessischer Verkehrsverbund;nein;ja
Hessen;Kurhessenbahn (KHB);1661;Ernsthausen (Kr Frankenberg);FERH;EGB;Bahnhofstraße;8134;Langenweißbach;Nordhessischer Verkehrsverbund;Verkehrsverbund Mittelsachsen;nein;ja
Sachsen;Erzgebirgsbahn (EGB);1745;Fährbrücke;DFBE;EGB;Am Haltepunkt;9557;Falkenau;Verkehrsverbund Mittelsachsen;Verkehrsverbund Mittelsachsen;nein;ja
Sachsen;Erzgebirgsbahn (EGB);1750;Falkenau (Sachs);DFU;WFB 2;Hauptstraße;97906;Faulbach;Verkehrsverbund Mittelsachsen;Verkehrsgemeinschaft am Bayerischen Untermain;nein;ja
Bayern;Westfrankenbahn (WFB);1766;Faulbach (Main);NFCH;KHB 3;Sieg-Lahn-Straße;57334;Bad Laasphe;Bayrische Eisenbahn Gesellschaft;Zweckverband / Verkehrsgemeinschaft Westfalen-Süd;nein;ja
Nordrhein-Westfalen;Kurhessenbahn (KHB);1786;Feudingen;EFEU;EGB;Augustusburger Straße;9557;Flöha;Zweckverband Nahverkehr Westfalen-Lippe;Verkehrsverbund Mittelsachsen;nein;ja
Sachsen;Erzgebirgsbahn (EGB);8221;Flöha-Plaue;DFLP;EGB;Mühlenstraße;9579;Wildenstein;Verkehrsverbund Mittelsachsen;Verkehrsverbund Mittelsachsen;nein;ja
Sachsen;Erzgebirgsbahn (EGB);1820;Floßmühle;DFM;SOB;Bahnweg 3;83539;Pfaffing;Verkehrsverbund Mittelsachsen;Münchener Verkehrs- und Tarifverbund;nein;ja
Bayern;Südostbayernbahn (SOB);1837;Forsting;MFOS;KHB 1;Am Bahnhof;35066;Frankenberg;Bayrische Eisenbahn Gesellschaft;Nordhessischer Verkehrsverbund;nein;ja
Hessen;Kurhessenbahn (KHB);1841;Frankenberg (Eder);FFRK;KHB 1;Otto-Stölker-Straße;35066;Frankenberg / Eder;Nordhessischer Verkehrsverbund;Nordhessischer Verkehrsverbund;nein;ja
Hessen;Kurhessenbahn (KHB);8302;Frankenberg (Eder) Goßberg;FFRG;KHB 1;Am Schmittenbach;35066;Frankenberg (Eder);Nordhessischer Verkehrsverbund;Nordhessischer Verkehrsverbund;nein;ja
Hessen;Kurhessenbahn (KHB);7512;Frankenberg (Eder) Viermünden;FVI;WFB 2;Am Bahnhof;97896;Collenberg;Nordhessischer Verkehrsverbund;Verkehrsgemeinschaft am Bayerischen Untermain;nein;ja
Bayern;Westfrankenbahn (WFB);1920;Freudenberg-Kirschfurt;NFM;SOB;Wiesenweg 10;83413;Fridolfing;Bayrische Eisenbahn Gesellschaft;-;nein;ja
Bayern;Südostbayernbahn (SOB);1928;Fridolfing;MFDF;KHB 2;Wilhelmshütter Straße;35232;Dautphetal;Bayrische Eisenbahn Gesellschaft;Rhein-Main-Verkehrsverbund;nein;ja
Hessen;Kurhessenbahn (KHB);1933;Friedensdorf (Lahn);FFRD;KHB 1;Am Güterbahnhof;34560;Fritzlar;Rhein-Main-Verkehrsverbund;Nordhessischer Verkehrsverbund;nein;ja
Hessen;Kurhessenbahn (KHB);1964;Fritzlar;FFZ;KHB 1;Bahnhofstraße ;34379;Calden;Nordhessischer Verkehrsverbund;Nordhessischer Verkehrsverbund;nein;ja
Hessen;Kurhessenbahn (KHB);1979;Fürstenwald;FFNW;SOB;Aspertsham 55;94081;Fürstenzell;Nordhessischer Verkehrsverbund;Verkehrsgemeinschaft Landkreis Passau;nein;ja
Bayern;Südostbayernbahn (SOB);1982;Fürstenzell;MFZL;WFB 1;Bahnhofstraße;97956;Werbach;Bayrische Eisenbahn Gesellschaft;Verkehrsverbund Rhein-Neckar;nein;ja
Baden-Württemberg;Westfrankenbahn (WFB);2004;Gamburg;TGAM;SOB;Bahnhofstraße;84518;Garching a.d. Alz;Nahverkehrsgesellschaft Baden-Württemberg;-;nein;ja
Bayern;Südostbayernbahn (SOB);2010;Garching (Alz);MGA;SOB;Fortlschusterstr. 12;83536;Gars a. Inn;Bayrische Eisenbahn Gesellschaft;-;nein;ja
Bayern;Südostbayernbahn (SOB);2015;Gars (Inn);MGS;SOB;Bahnhofstraße 39;84144;Geisenhausen;Bayrische Eisenbahn Gesellschaft;-;nein;ja
Bayern;Südostbayernbahn (SOB);2041;Geisenhausen;MGHS;SOB;Industriepark;84508;Burgkirchen a.d.Alz;Bayrische Eisenbahn Gesellschaft;-;nein;ja
Bayern;Südostbayernbahn (SOB);7547;Gendorf;MGND;WFB 2;Glanzstoffstraße;63785;Erlenbach a.Main;Bayrische Eisenbahn Gesellschaft;Verkehrsgemeinschaft am Bayerischen Untermain;nein;ja
Bayern;Westfrankenbahn (WFB);2137;Glanzstoffwerke;NGLW;KHB 2;Bahnhofstraße;35094;Lahntal;Bayrische Eisenbahn Gesellschaft;Rhein-Main-Verkehrsverbund;nein;ja
Hessen;Kurhessenbahn (KHB);2205;Goßfelden;FGOF;EGB;Am Güterbahnhof;9579;Wildenstein;Rhein-Main-Verkehrsverbund;Verkehrsverbund Mittelsachsen;nein;ja
Sachsen;Erzgebirgsbahn (EGB);2396;Grünhainichen-Borstendorf;DGRB;EGB;Am Bahnhof;8340;Schwarzenberg;Verkehrsverbund Mittelsachsen;Verkehrsverbund Mittelsachsen;nein;ja
Sachsen;Erzgebirgsbahn (EGB);2404;Grünstädtel;DGS;WFB 1;Bahnhofstraße;74722;Buchen (Odenwald);Verkehrsverbund Mittelsachsen;Verkehrsverbund Rhein-Neckar;nein;ja
Baden-Württemberg;Westfrankenbahn (WFB);2481;Hainstadt (Baden);RHAI;EGB;Bahnhofstraße;8118;Hartenstein;Nahverkehrsgesellschaft Baden-Württemberg;Verkehrsverbund Mittelsachsen;nein;ja
Sachsen;Erzgebirgsbahn (EGB);2567;Hartenstein;DHST;WFB 2;Bahnhofstraße;97907;Hasloch;Verkehrsverbund Mittelsachsen;Verkehrsgemeinschaft am Bayerischen Untermain;nein;ja
Bayern;Westfrankenbahn (WFB);2578;Hasloch am Main;NHCH;SOB;Bahnhofstraße 3;84332;Hebertsfelden;Bayrische Eisenbahn Gesellschaft;Verkehrsgemeinschaft Rottal-Inn;nein;ja
Bayern;Südostbayernbahn (SOB);2612;Hebertsfelden;MHEF;SOB;Marsstraße;84557;Tüßling;Bayrische Eisenbahn Gesellschaft;-;nein;ja
Bayern;Südostbayernbahn (SOB);7549;Heiligenstatt;MHEI;EGB;Bahnhofstraße;9573;Augustusburg;Bayrische Eisenbahn Gesellschaft;Verkehrsverbund Mittelsachsen;nein;ja
Sachsen;Erzgebirgsbahn (EGB);2690;Hennersdorf (Sachs);DHRF;EGB;Lindenstraße;9557;Flöha;Verkehrsverbund Mittelsachsen;Verkehrsverbund Mittelsachsen;nein;ja
Sachsen;Erzgebirgsbahn (EGB);2754;Hetzdorf (Flöhatal);DHZF;WFB 1;Landstraße;97941;Tauberbischofsheim;Verkehrsverbund Mittelsachsen;Verkehrsverbund Rhein-Neckar;nein;ja
Baden-Württemberg;Westfrankenbahn (WFB);2801;Hochhausen;THO;EGB;Bahnhofstraße;9573;Leubsdorf+Hohenfichte;Nahverkehrsgesellschaft Baden-Württemberg;Verkehrsverbund Mittelsachsen;nein;ja
Sachsen;Erzgebirgsbahn (EGB);2845;Hohenfichte;DHOF;SOB;Ruhpoldinger Straße;83313;Siegsdorf;Verkehrsverbund Mittelsachsen;-;nein;ja
Bayern;Südostbayernbahn (SOB);2899;Höpfling;MHPF;SOB;Mühlweg 10;83301;Traunreut;Bayrische Eisenbahn Gesellschaft;-;nein;ja
Bayern;Südostbayernbahn (SOB);2918;Hörpolding;MHPD;SOB;Waginger Straße;83362;Surberg;Bayrische Eisenbahn Gesellschaft;-;nein;ja
Bayern;Südostbayernbahn (SOB);2940;Hufschlag;MHUF;WFB 1;Bahnhofstraße;97999;Igersheim;Bayrische Eisenbahn Gesellschaft;Verkehrsverbund Rhein-Neckar;nein;ja
Baden-Württemberg;Westfrankenbahn (WFB);2968;Igersheim;TIH;SOB;Bahnhofstraße 2-4;84555;Jettenbach;Nahverkehrsgesellschaft Baden-Württemberg;-;nein;ja
Bayern;Südostbayernbahn (SOB);3052;Jettenbach;MJEB;EGB;Pachthausstraße;8349;Johanngeorgenstadt;Bayrische Eisenbahn Gesellschaft;Verkehrsverbund Mittelsachsen;nein;ja
Sachsen;Erzgebirgsbahn (EGB);3059;Johanngeorgenstadt;DJ;SOB;Flurstraße;84387;Julbach;Verkehrsverbund Mittelsachsen;Verkehrsgemeinschaft Rottal-Inn;nein;ja
Bayern;Südostbayernbahn (SOB);8222;Julbach;MJUL;SOB;Karpfham Bahnhof 2;94094;Rotthalmünster;Bayrische Eisenbahn Gesellschaft;Verkehrsgemeinschaft Landkreis Passau;nein;ja
Bayern;Südostbayernbahn (SOB);3116;Karpfham;MKH;SOB;Bahnhofstraße 9-11;84556;Kastl;Bayrische Eisenbahn Gesellschaft;-;nein;ja
Bayern;Südostbayernbahn (SOB);3128;Kastl (Oberbay);MKAT;OBS;Bahnhofstraße 103;98746;Katzhütte;Bayrische Eisenbahn Gesellschaft;-;nein;ja
Thüringen;Oberweißbacher Berg- und Schwarzatalbahn (OBS);3137;Katzhütte;UKH;EGB;Mühlenweg;9235;Burkhardtsdorf;Nahverkehrsservicegesellschaft Thüringen;Verkehrsverbund Mittelsachsen;nein;ja
Sachsen;Erzgebirgsbahn (EGB);3157;Kemtau;DKAU;SOB;Am Bahnweiher 1;83417;Kirchanschöring;Verkehrsverbund Mittelsachsen;-;nein;ja
Bayern;Südostbayernbahn (SOB);3182;Kirchanschöring;MKAG;SOB;Bahnhofstraße 12-24;84558;Kirchweidach;Bayrische Eisenbahn Gesellschaft;-;nein;ja
Bayern;Südostbayernbahn (SOB);7550;Kirchweidach;MKW;WFB 2;Bahnhofstraße;63924;Kleinheubach;Bayrische Eisenbahn Gesellschaft;Verkehrsgemeinschaft am Bayerischen Untermain;nein;ja
Bayern;Westfrankenbahn (WFB);3250;Kleinheubach;NKLH;WFB 2;Wallstraße;63839;Kleinwallstadt;Bayrische Eisenbahn Gesellschaft;Verkehrsgemeinschaft am Bayerischen Untermain;nein;ja
Bayern;Westfrankenbahn (WFB);3262;Kleinwallstadt;NKT;WFB 2;Bahnhofstraße;63911;Klingenberg;Bayrische Eisenbahn Gesellschaft;Verkehrsgemeinschaft am Bayerischen Untermain;nein;ja
Bayern;Westfrankenbahn (WFB);3270;Klingenberg am Main;NKM;WFB 1;L 509;97877;Wertheim;Bayrische Eisenbahn Gesellschaft;Verkehrsverbund Rhein-Neckar;nein;ja
Baden-Württemberg;Westfrankenbahn (WFB);897;Kloster Bronnbach;TBR;KHB 1;Am Hauptbahnhof;34497;Korbach;Nahverkehrsgesellschaft Baden-Württemberg;Nordhessischer Verkehrsverbund;nein;ja
Hessen;Kurhessenbahn (KHB);3371;Korbach;FKOB;KHB 1;Am Südbahnhof;34497;Korbach;Nordhessischer Verkehrsverbund;Nordhessischer Verkehrsverbund;nein;ja
Hessen;Kurhessenbahn (KHB);3372;Korbach Süd;FKBS;KHB 1;Alte Mühle 11;34471;Volkmarsen;Nordhessischer Verkehrsverbund;Nordhessischer Verkehrsverbund;nein;ja
Hessen;Kurhessenbahn (KHB);7490;Külte-Wetterburg;FKWB;KHB 2;Hauptstraße;35094;Lahntal;Nordhessischer Verkehrsverbund;Rhein-Main-Verkehrsverbund;nein;ja
Hessen;Kurhessenbahn (KHB);8246;Lahntal-Sarnau;FLSR;SOB;Habichtstr. 8-17;84036;Landshut;Rhein-Main-Verkehrsverbund;-;nein;ja
Bayern;Südostbayernbahn (SOB);3514;Landshut (Bay) Süd;MLAS;WFB 2;Miltenberger Straße;63925;Laudenbach;Bayrische Eisenbahn Gesellschaft;Verkehrsgemeinschaft am Bayerischen Untermain;nein;ja
Bayern;Westfrankenbahn (WFB);3577;Laudenbach am Main;NLK;WFB 1;Bahnstraße;97990;Weikersheim;Bayrische Eisenbahn Gesellschaft;Verkehrsverbund Rhein-Neckar;nein;ja
Baden-Württemberg;Westfrankenbahn (WFB);3579;Laudenbach (Württ);TLC;SOB;Bahnhofstraße 42-50;83410;Laufen;Nahverkehrsgesellschaft Baden-Württemberg;Salzburger Verkehrsverbund;nein;ja
Bayern;Südostbayernbahn (SOB);3588;Laufen (Oberbay);MLF;EGB;Bahnhofstraße;8315;Lauter-Bernsbach;Bayrische Eisenbahn Gesellschaft;Verkehrsverbund Mittelsachsen;nein;ja
Sachsen;Erzgebirgsbahn (EGB);3601;Lauter (Sachs);DLR;KHB 3;Hauptstraße;57339;Erndtebrück;Verkehrsverbund Mittelsachsen;Zweckverband / Verkehrsgemeinschaft Westfalen-Süd;nein;ja
Nordrhein-Westfalen;Kurhessenbahn (KHB);3624;Leimstruth;ELEI;EGB;Rauenstein;9514;Pockau-Lengefeld;Zweckverband Nahverkehr Westfalen-Lippe;Verkehrsverbund Mittelsachsen;nein;ja
Sachsen;Erzgebirgsbahn (EGB);3659;Lengefeld-Rauenstein;DRAU;EGB;Hauptstraße;9573;Leubsdorf+Hohenfichte;Verkehrsverbund Mittelsachsen;Verkehrsverbund Mittelsachsen;nein;ja
Sachsen;Erzgebirgsbahn (EGB);3678;Leubsdorf (Sachs);DLEU;OBS;Bergbahnstraße 9;98744;Oberweißbach;Verkehrsverbund Mittelsachsen;-;nein;ja
Thüringen;Oberweißbacher Berg- und Schwarzatalbahn (OBS);3702;Lichtenhain a d Bergbahn;ULIH;EGB;Bahnhofstraße;8294;Lößnitz;Nahverkehrsservicegesellschaft Thüringen;Verkehrsverbund Mittelsachsen;nein;ja
Sachsen;Erzgebirgsbahn (EGB);3791;Lößnitz ob Bf;DLN;EGB;Bahnhofstraße;8294;Lößnitz;Verkehrsverbund Mittelsachsen;Verkehrsverbund Mittelsachsen;nein;ja
Sachsen;Erzgebirgsbahn (EGB);3792;Lößnitz unt Bf;DLNU;KHB 1;Fritzlarer Straße;34537;Bad Wildungen;Verkehrsverbund Mittelsachsen;Nordhessischer Verkehrsverbund;nein;ja
Hessen;Kurhessenbahn (KHB);3921;Mandern;FMAN;EGB;Untere Bahnhofstraße;9496;Marienberg;Nordhessischer Verkehrsverbund;Verkehrsverbund Mittelsachsen;nein;ja
Sachsen;Erzgebirgsbahn (EGB);3948;Marienberg (Sachs);DMG;WFB 1;Weikersheimer Straße;97980;Bad Mergentheim;Verkehrsverbund Mittelsachsen;Verkehrsverbund Rhein-Neckar;nein;ja
Baden-Württemberg;Westfrankenbahn (WFB);3958;Markelsheim;TMA;EGB;Bahnhofstraße;8352;Raschau-Markersbach;Nahverkehrsgesellschaft Baden-Württemberg;Verkehrsverbund Mittelsachsen;nein;ja
Sachsen;Erzgebirgsbahn (EGB);3959;Markersbach (Erzgeb);DMAR;SOB;Hauptstraße 36;84533;Marktl;Verkehrsverbund Mittelsachsen;-;nein;ja
Bayern;Südostbayernbahn (SOB);3975;Marktl;MMK;SOB;Ludwig-Thoma-Strasse;84323;Massing;Bayrische Eisenbahn Gesellschaft;Verkehrsgemeinschaft Rottal-Inn;nein;ja
Bayern;Südostbayernbahn (SOB);3998;Massing;MMSG;SOB;Bahnhofstraße;83301;Traunreut;Bayrische Eisenbahn Gesellschaft;-;nein;ja
Bayern;Südostbayernbahn (SOB);4000;Matzing;MMTZ;EGB;Bahnhofstraße;9235;Burkhardtsdorf;Bayrische Eisenbahn Gesellschaft;Verkehrsverbund Mittelsachsen;nein;ja
Sachsen;Erzgebirgsbahn (EGB);4030;Meinersdorf (Erzgeb);DMS;OBS;August-Bebel-Straße 29;98746;Mellenbach-Glasbach;Verkehrsverbund Mittelsachsen;-;nein;ja
Thüringen;Oberweißbacher Berg- und Schwarzatalbahn (OBS);4045;Mellenbach-Glasbach;UMEL;KHB 1;Auf der Schanze;34454;Bad Arolsen;Nahverkehrsservicegesellschaft Thüringen;Nordhessischer Verkehrsverbund;nein;ja
Hessen;Kurhessenbahn (KHB);7494;Mengeringhausen;FMGH;OBS;Mellenbacher Straße 18;98746;Meuselbach-Schwarzmühle;Nordhessischer Verkehrsverbund;-;nein;ja
Thüringen;Oberweißbacher Berg- und Schwarzatalbahn (OBS);4089;Meuselbach-Schwarzmühle;UMEU;WFB 2;Brückenstraße;63897;Miltenberg;Nahverkehrsservicegesellschaft Thüringen;Verkehrsgemeinschaft am Bayerischen Untermain;nein;ja
Bayern;Westfrankenbahn (WFB);4110;Miltenberg;NM;WFB 2;Greinbergstraße;63897;Miltenberg;Bayrische Eisenbahn Gesellschaft;Verkehrsgemeinschaft am Bayerischen Untermain;nein;ja
Bayern;Westfrankenbahn (WFB);850;Miltenberg-Breitendiel;NBRE;SOB;Kirchenstrasse 18;83559;Gars a.Inn;Bayrische Eisenbahn Gesellschaft;-;nein;ja
Bayern;Südostbayernbahn (SOB);4137;Mittergars;MMIG;SOB;Bahnhofsplatz;84453;Mühldorf a.Inn;Bayrische Eisenbahn Gesellschaft;-;nein;ja
Bayern;Südostbayernbahn (SOB);4201;Mühldorf (Oberbay);MMF;KHB 2;Am Bahnhof;35117;Münchhausen;Bayrische Eisenbahn Gesellschaft;Rhein-Main-Verkehrsverbund;nein;ja
Hessen;Kurhessenbahn (KHB);4272;Münchhausen;FMHN;EGB;Nennigmühle;9509;Pockau-Lengefeld;Rhein-Main-Verkehrsverbund;Verkehrsverbund Mittelsachsen;nein;ja
Sachsen;Erzgebirgsbahn (EGB);4339;Nennigmühle;DNGM;EGB;Bahnhofstraße;9544;Neuhausen;Verkehrsverbund Mittelsachsen;Verkehrsverbund Mittelsachsen;nein;ja
Sachsen;Erzgebirgsbahn (EGB);4398;Neuhausen (Erzgeb);DNH;SOB;Bahnhofstr. 12;94127;Neuburg a.Inn;Verkehrsverbund Mittelsachsen;Verkehrsgemeinschaft Landkreis Passau;nein;ja
Bayern;Südostbayernbahn (SOB);4407;Neukirchen (Inn);MNK;SOB;Bahnhofstraße 22;84494;Neumarkt-Sankt Veit;Bayrische Eisenbahn Gesellschaft;-;nein;ja
Bayern;Südostbayernbahn (SOB);4417;Neumarkt-St Veit;MNR;SOB;Am Bahnhof;84543;Winhöring;Bayrische Eisenbahn Gesellschaft;-;nein;ja
Bayern;Südostbayernbahn (SOB);4430;Neuötting;MNN;SOB;Neustift;94036;Passau;Bayrische Eisenbahn Gesellschaft;Verkehrsgemeinschaft Landkreis Passau;nein;ja
Bayern;Südostbayernbahn (SOB);4459;Neustift (b Passau);NNSP;WFB 1;Bahnhofstraße;97996;Niederstetten;Bayrische Eisenbahn Gesellschaft;Verkehrsverbund Rhein-Neckar;nein;ja
Baden-Württemberg;Westfrankenbahn (WFB);4530;Niederstetten;TNI;EGB;Rittergutsweg;8297;Zwönitz;Nahverkehrsgesellschaft Baden-Württemberg;Verkehrsverbund Mittelsachsen;nein;ja
Sachsen;Erzgebirgsbahn (EGB);8224;Niederzwönitz;DNZW;WFB 1;Taubertalradweg;97956;Werbach;Verkehrsverbund Mittelsachsen;Verkehrsverbund Rhein-Neckar;nein;ja
Baden-Württemberg;Westfrankenbahn (WFB);4556;Niklashausen;TNK;KHB 1;An der L 3214 Nr. 2;34289;Zierenberg;Nahverkehrsgesellschaft Baden-Württemberg;Nordhessischer Verkehrsverbund;nein;ja
Hessen;Kurhessenbahn (KHB);4636;Oberelsungen;FOSN;WFB 2;Glanzstoffstraße;63820;Elsenfeld;Nordhessischer Verkehrsverbund;Verkehrsgemeinschaft am Bayerischen Untermain;nein;ja
Bayern;Westfrankenbahn (WFB);4668;Obernburg-Elsenfeld;NOE;KHB 3;Siegener Straße;57334;Bad Laasphe;Bayrische Eisenbahn Gesellschaft;Zweckverband / Verkehrsgemeinschaft Westfalen-Süd;nein;ja
Nordrhein-Westfalen;Kurhessenbahn (KHB);4669;Oberndorf (Kr Wittgenstein);EOBW;OBS;Fröbelstraße 24;98744;Oberweißbach;Zweckverband Nahverkehr Westfalen-Lippe;-;nein;ja
Thüringen;Oberweißbacher Berg- und Schwarzatalbahn (OBS);4707;Oberweißbach-Deesbach;UOW;OBS;An der Bergbahn 1;98746;Mellenbach-Glasbach;Nahverkehrsservicegesellschaft Thüringen;-;nein;ja
Thüringen;Oberweißbacher Berg- und Schwarzatalbahn (OBS);4716;Obstfelderschmiede;UOFM;EGB;Brandauer Straße;9526;Olbernhau;Nahverkehrsservicegesellschaft Thüringen;Verkehrsverbund Mittelsachsen;nein;ja
Sachsen;Erzgebirgsbahn (EGB);4757;Olbernhau;DOL;EGB;An der Bahnlinie;9526;Olbernhau;Verkehrsverbund Mittelsachsen;Verkehrsverbund Mittelsachsen;nein;ja
Sachsen;Erzgebirgsbahn (EGB);8225;Olbernhau West;DOLW;EGB;Jagdweg;96526;Olbernhau;Verkehrsverbund Mittelsachsen;Verkehrsverbund Mittelsachsen;nein;ja
Sachsen;Erzgebirgsbahn (EGB);4758;Olbernhau-Grünthal;DOGT;SOB;Oberleiten 20;83329;Waging a.See;Verkehrsverbund Mittelsachsen;-;nein;ja
Bayern;Südostbayernbahn (SOB);4833;Otting;MOTG;SOB;Bahnweg 1-18;84347;Pfarrkirchen;Bayrische Eisenbahn Gesellschaft;Verkehrsgemeinschaft Rottal-Inn;nein;ja
Bayern;Südostbayernbahn (SOB);4917;Pfarrkirchen;MPKI;EGB;-;-;-;Bayrische Eisenbahn Gesellschaft;Verkehrsverbund Mittelsachsen;nein;ja
Sachsen;Erzgebirgsbahn (EGB);8226;Pockau Strobelmühle;DSTM;EGB;-;-;Pockau-Lengefeld;Verkehrsverbund Mittelsachsen;Verkehrsverbund Mittelsachsen;nein;ja
Sachsen;Erzgebirgsbahn (EGB);4972;Pockau-Lengefeld;DPF;SOB;Griesbacher Str.;94060;Pocking;Verkehrsverbund Mittelsachsen;-;nein;ja
Bayern;Südostbayernbahn (SOB);4973;Pocking;MPKG;SOB;Ro 43 42;83561;Ramerberg;Bayrische Eisenbahn Gesellschaft;-;nein;ja
Bayern;Südostbayernbahn (SOB);5109;Ramerberg;MRMB;EGB;-;-;Raschau-Markersbach;Bayrische Eisenbahn Gesellschaft;Verkehrsverbund Mittelsachsen;nein;ja
Sachsen;Erzgebirgsbahn (EGB);5124;Raschau (b Schwarzenberg);DRAS;WFB 1;Alte Heerstraße;97877;Wertheim;Verkehrsverbund Mittelsachsen;Verkehrsverbund Rhein-Neckar;nein;ja
Baden-Württemberg;Westfrankenbahn (WFB);5195;Reicholzheim;TRL;EGB;-;-;Pockau-Lengefeld;Nahverkehrsgesellschaft Baden-Württemberg;Verkehrsverbund Mittelsachsen;nein;ja
Sachsen;Erzgebirgsbahn (EGB);5196;Reifland-Wünschendorf;DRF;WFB 1;Bahnhofstraße;74731;Walldürn;Verkehrsverbund Mittelsachsen;Verkehrsverbund Rhein-Neckar;nein;ja
Baden-Württemberg;Westfrankenbahn (WFB);5290;Rippberg;RRB;SOB;Rohrbach 12;84513;Erharting;Nahverkehrsgesellschaft Baden-Württemberg;-;nein;ja
Bayern;Südostbayernbahn (SOB);5318;Rohrbach (Oberbay);MROH;SOB;Prinzregentenstraße;83024;Rosenheim;Bayrische Eisenbahn Gesellschaft;-;nein;ja
Bayern;Südostbayernbahn (SOB);8259;Rosenheim Hochschule;MROS;WFB 1;Bahnhofstraße 15;74585;Rot am See;Bayrische Eisenbahn Gesellschaft;KreisVerkehr Schwäbisch Hall;nein;ja
Baden-Württemberg;Westfrankenbahn (WFB);5376;Rot am See;TRS;SOB;An der St 2079;83543;Rott a.Inn;Nahverkehrsgesellschaft Baden-Württemberg;-;nein;ja
Bayern;Südostbayernbahn (SOB);5396;Rott (Inn);MRT;SOB;Fliederweg 1;83324;Ruhpolding;Bayrische Eisenbahn Gesellschaft;-;nein;ja
Bayern;Südostbayernbahn (SOB);5426;Ruhpolding;MRPD;SOB;Ernst-Hatz-Strasse 11-15;94099;Ruhstorf a.d.Rott;Bayrische Eisenbahn Gesellschaft;Verkehrsgemeinschaft Landkreis Passau;nein;ja
Bayern;Südostbayernbahn (SOB);5427;Ruhstorf;MRUS;WFB 1;Am Bahnhof 16;74589;Satteldorf;Bayrische Eisenbahn Gesellschaft;KreisVerkehr Schwäbisch Hall;nein;ja
Baden-Württemberg;Westfrankenbahn (WFB);5515;Satteldorf;TSAT;SOB;Fiedlerstraße 1;83342;Tacherting;Nahverkehrsgesellschaft Baden-Württemberg;-;nein;ja
Bayern;Südostbayernbahn (SOB);5534;Schalchen;MSCA;KHB 3;Steimelweg;57339;Erndtebrück;Bayrische Eisenbahn Gesellschaft;Zweckverband / Verkehrsgemeinschaft Westfalen-Süd;nein;ja
Nordrhein-Westfalen;Kurhessenbahn (KHB);5539;Schameder;ESCA;EGB;-;-;Drebach;Zweckverband Nahverkehr Westfalen-Lippe;Verkehrsverbund Mittelsachsen;nein;ja
